model_id,task_id,contrast,metric,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,a_correct_b_wrong,a_wrong_b_correct,discordant_pairs,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
internlm2_5-7b-chat,qa_v4_5,3-0,recoverable_accuracy,100,50,86.0,87.0,-1.0000000000000009,-4.0000000000000036,2.0000000000000018,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,2,3,10000,,1.0,False,22,main_qa_v4_5_primary_22
Mistral-7B-Instruct-v0.3,classification,1-0,accuracy,100,100,47.0,40.0,6.999999999999995,0.0,14.999999999999996,0.11846923828125,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,11,4,15,10000,,1.0,False,22,main_classification_primary_22
Mistral-7B-Instruct-v0.3,classification,3-0,accuracy,100,100,50.0,40.0,9.999999999999998,0.9999999999999953,19.999999999999996,0.06391465663909912,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,17,7,24,10000,,0.9587198495864868,False,22,main_classification_primary_22
Mistral-7B-Instruct-v0.3,reasoning,1-0,judgment_accuracy,100,100,93.0,97.0,-3.9999999999999925,-8.999999999999996,1.0000000000000009,0.21875,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,5,6,10000,,1.0,False,22,main_reasoning_primary_22
Mistral-7B-Instruct-v0.3,reasoning,3-0,judgment_accuracy,100,100,97.0,97.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,1,1,2,10000,,1.0,False,22,main_reasoning_primary_22
Mistral-7B-Instruct-v0.3,structuring,1-0,cnhi_v2,100,100,77.43178057104932,54.73039679186562,22.701383779183693,16.08267906805478,29.511847595720415,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
Mistral-7B-Instruct-v0.3,structuring,3-0,cnhi_v2,100,100,77.6086471315495,54.73039679186562,22.87825033968388,16.016659354662792,30.085980363265506,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,10000,0.0021997800219978004,True,22,main_structuring_primary_22
Mistral-7B-Instruct-v0.3,relationship,1-0,micro_f1,50,50,66.05876393110435,22.967741935483872,43.09102199562049,33.50417186702085,53.0201302429137,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
Mistral-7B-Instruct-v0.3,relationship,3-0,micro_f1,50,50,62.04620462046204,22.967741935483872,39.07846268497817,30.20790284464899,47.91085192163418,9.999000099990002e-05,two-sided centered paired source-cluster bootstrap approximation; micro-F1 recomputed in each replicate,paired percentile source-cluster bootstrap; 10000 resamples,,,,10000,,0.0021997800219978004,True,22,main_relationship_primary_22
Mistral-7B-Instruct-v0.3,qa_v4_5,1-0,recoverable_accuracy,100,50,47.0,46.0,0.9999999999999953,-9.000000000000002,10.999999999999998,1.0,two-sided exact McNemar on paired item correctness,paired percentile source-cluster bootstrap; 10000 resamples,14,13,27,10000,,1.0,False,22,main_qa_v4_5_primary_22
