model_id,task_id,contrast,metric,n_items,n_clusters,mean_a_100,mean_b_100,difference_a_minus_b_100,ci95_low_100,ci95_high_100,p_raw,test,ci_method,bootstrap_resamples,signflip_resamples,p_holm,significant_holm_0_05,holm_family_size,holm_family_id
QwQ-32B,rewriting,1-0,dual_llm_weighted_total,24,24,77.89166666666668,75.9833333333333,1.9083333333333785,-0.9291666666666587,4.808385416666669,0.21397860213978603,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
QwQ-32B,rewriting,3-0,dual_llm_weighted_total,24,24,80.99583333333334,75.9833333333333,5.012500000000031,2.0041666666666735,8.16473958333334,0.0037996200379962005,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.07979202079792021,False,22,generation_rewriting_22
QwQ-32B,continuation,1-0,dual_llm_weighted_total,24,24,84.49166666666666,80.54375000000002,3.947916666666651,0.39059895833333336,7.245833333333329,0.040495950404959506,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.08099190080991901,False,22,generation_continuation_22
QwQ-32B,continuation,3-0,dual_llm_weighted_total,24,24,86.42395833333333,80.54375000000002,5.880208333333314,3.8624218750000017,8.075,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
Qwen2.5-7B-Instruct,story_generation,1-0,dual_llm_weighted_total,24,24,70.66979166666667,67.196875,3.47291666666667,0.43531249999999916,6.856276041666674,0.0403959604039596,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.5684431556844316,False,22,generation_story_generation_22
Qwen2.5-7B-Instruct,story_generation,3-0,dual_llm_weighted_total,24,24,69.37604166666665,67.196875,2.1791666666666543,-1.321874999999984,5.447994791666663,0.23697630236976303,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
Qwen2.5-7B-Instruct,rewriting,1-0,dual_llm_weighted_total,24,24,70.25416666666669,69.57291666666667,0.681250000000011,-1.7396354166666719,3.2229687499999966,0.6011398860113989,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
Qwen2.5-7B-Instruct,rewriting,3-0,dual_llm_weighted_total,24,24,72.44375,69.57291666666667,2.8708333333333225,0.4082812500000099,5.622968749999998,0.040495950404959506,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.5669433056694331,False,22,generation_rewriting_22
Qwen2.5-7B-Instruct,continuation,1-0,dual_llm_weighted_total,24,24,64.928125,51.40520833333334,13.522916666666651,8.900989583333331,17.975182291666673,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
Qwen2.5-7B-Instruct,continuation,3-0,dual_llm_weighted_total,24,24,74.04583333333332,51.40520833333334,22.640624999999982,18.451953124999992,26.637578124999994,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
Qwen3-8B-NonThinking,story_generation,1-0,dual_llm_weighted_total,24,24,72.06354166666667,61.99687500000001,10.066666666666658,4.377994791666677,15.804296874999995,0.0013998600139986002,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.026597340265973404,True,22,generation_story_generation_22
Qwen3-8B-NonThinking,story_generation,3-0,dual_llm_weighted_total,24,24,76.86666666666667,61.99687500000001,14.869791666666664,10.399973958333332,19.717864583333338,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_story_generation_22
Qwen3-8B-NonThinking,rewriting,1-0,dual_llm_weighted_total,24,24,73.59166666666667,70.03333333333333,3.55833333333333,1.2978645833333324,5.956354166666662,0.006799320067993201,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.135986401359864,False,22,generation_rewriting_22
Qwen3-8B-NonThinking,rewriting,3-0,dual_llm_weighted_total,24,24,73.49999999999999,70.03333333333333,3.4666666666666512,0.597916666666686,6.3271875000000035,0.032996700329967,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.49495050494950504,False,22,generation_rewriting_22
Qwen3-8B-NonThinking,continuation,1-0,dual_llm_weighted_total,24,24,73.20104166666667,54.90312500000001,18.29791666666666,13.841588541666663,22.545859375000006,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
Qwen3-8B-NonThinking,continuation,3-0,dual_llm_weighted_total,24,24,82.29375000000002,54.90312500000001,27.390625,23.76247395833332,31.214609375000002,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
chatglm3-6b,story_generation,1-0,dual_llm_weighted_total,24,24,49.35000000000001,47.36875000000001,1.9812499999999955,-3.609557291666653,7.358359374999999,0.48885111488851113,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
chatglm3-6b,story_generation,3-0,dual_llm_weighted_total,24,24,51.0,47.36875000000001,3.6312499999999917,-1.9563281249999929,9.784479166666666,0.25817418258174185,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
chatglm3-6b,rewriting,1-0,dual_llm_weighted_total,24,24,54.552083333333336,50.77708333333333,3.775000000000006,-1.0729687500000011,8.377239583333344,0.13358664133586642,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
chatglm3-6b,rewriting,3-0,dual_llm_weighted_total,24,24,54.431249999999984,50.77708333333333,3.6541666666666583,-2.4710416666666553,9.704375,0.2578742125787421,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
chatglm3-6b,continuation,1-0,dual_llm_weighted_total,24,24,67.77916666666664,40.77916666666667,26.999999999999975,23.181197916666676,30.58559895833332,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
chatglm3-6b,continuation,3-0,dual_llm_weighted_total,24,24,65.85208333333334,40.77916666666667,25.07291666666666,19.423932291666674,30.190234374999974,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
deepseek-llm-7b-chat,story_generation,1-0,dual_llm_weighted_total,24,24,61.29583333333333,60.723958333333336,0.5718749999999884,-4.147473958333338,5.021901041666675,0.8129187081291871,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
deepseek-llm-7b-chat,story_generation,3-0,dual_llm_weighted_total,24,24,64.090625,60.723958333333336,3.3666666666666623,-3.3501041666666747,8.91791666666666,0.33426657334266574,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
deepseek-llm-7b-chat,rewriting,1-0,dual_llm_weighted_total,24,24,60.331250000000004,59.229166666666664,1.1020833333333369,-2.723020833333341,4.974999999999996,0.5880411958804119,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_rewriting_22
deepseek-llm-7b-chat,rewriting,3-0,dual_llm_weighted_total,24,24,64.83958333333334,59.229166666666664,5.610416666666673,1.5104166666666696,9.791718749999998,0.014298570142985701,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.25737426257374263,False,22,generation_rewriting_22
deepseek-llm-7b-chat,continuation,1-0,dual_llm_weighted_total,24,24,60.56875,49.62083333333333,10.947916666666673,6.9863281250000115,15.326093749999995,0.00019998000199980003,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
deepseek-llm-7b-chat,continuation,3-0,dual_llm_weighted_total,24,24,75.31562499999998,49.62083333333333,25.694791666666656,22.919765625,28.58333333333332,9.999000099990002e-05,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,0.0021997800219978004,True,22,generation_continuation_22
glm-4-9b-chat,story_generation,1-0,dual_llm_weighted_total,24,24,60.458333333333336,59.99375000000001,0.4645833333333238,-1.708411458333334,2.584375000000006,0.6845315468453155,two-sided paired sign-flip; one sign per source cluster,paired percentile source-cluster bootstrap; 10000 resamples,10000,10000,1.0,False,22,generation_story_generation_22
