model_id,task_id,shot,metric,n_items,n_clusters,estimate_100
Qwen2.5-7B-Instruct,classification,3,accuracy,100,100,71.0
Qwen2.5-7B-Instruct,classification,3,macro_f1,100,100,67.72765346964736
Qwen2.5-7B-Instruct,reasoning,0,judgment_accuracy,100,100,94.0
Qwen2.5-7B-Instruct,reasoning,1,judgment_accuracy,100,100,93.0
Qwen2.5-7B-Instruct,reasoning,3,judgment_accuracy,100,100,95.0
Qwen2.5-7B-Instruct,structuring,0,cnhi_v2,100,100,55.12451168309411
Qwen2.5-7B-Instruct,structuring,1,cnhi_v2,100,100,80.02526878730872
Qwen2.5-7B-Instruct,structuring,3,cnhi_v2,100,100,80.82981673354763
Qwen2.5-7B-Instruct,relationship,0,micro_f1,50,50,20.584498094027953
Qwen2.5-7B-Instruct,relationship,1,micro_f1,50,50,57.354758961681085
Qwen2.5-7B-Instruct,relationship,3,micro_f1,50,50,69.71569839307787
Qwen2.5-7B-Instruct,qa_v4_5,0,recoverable_accuracy,100,50,75.0
Qwen2.5-7B-Instruct,qa_v4_5,1,recoverable_accuracy,100,50,77.0
Qwen2.5-7B-Instruct,qa_v4_5,3,recoverable_accuracy,100,50,78.0
Qwen3-8B-NonThinking,classification,0,accuracy,100,100,56.99999999999999
Qwen3-8B-NonThinking,classification,0,macro_f1,100,100,54.20400306763944
Qwen3-8B-NonThinking,classification,1,accuracy,100,100,59.0
Qwen3-8B-NonThinking,classification,1,macro_f1,100,100,57.276992170040295
Qwen3-8B-NonThinking,classification,3,accuracy,100,100,63.0
Qwen3-8B-NonThinking,classification,3,macro_f1,100,100,59.502588914353616
Qwen3-8B-NonThinking,reasoning,0,judgment_accuracy,100,100,95.0
Qwen3-8B-NonThinking,reasoning,1,judgment_accuracy,100,100,98.0
Qwen3-8B-NonThinking,reasoning,3,judgment_accuracy,100,100,97.0
Qwen3-8B-NonThinking,structuring,0,cnhi_v2,100,100,80.18841690073694
Qwen3-8B-NonThinking,structuring,1,cnhi_v2,100,100,80.90144143339215
Qwen3-8B-NonThinking,structuring,3,cnhi_v2,100,100,81.03700810008588
Qwen3-8B-NonThinking,relationship,0,micro_f1,50,50,43.669250645994836
Qwen3-8B-NonThinking,relationship,1,micro_f1,50,50,82.13851761846902
Qwen3-8B-NonThinking,relationship,3,micro_f1,50,50,80.34398034398035
Qwen3-8B-NonThinking,qa_v4_5,0,recoverable_accuracy,100,50,86.0
Qwen3-8B-NonThinking,qa_v4_5,1,recoverable_accuracy,100,50,85.0
Qwen3-8B-NonThinking,qa_v4_5,3,recoverable_accuracy,100,50,88.0
QwQ-32B,classification,0,accuracy,100,100,77.0
QwQ-32B,classification,0,macro_f1,100,100,77.28838523904938
QwQ-32B,classification,1,accuracy,100,100,76.0
QwQ-32B,classification,1,macro_f1,100,100,75.95184075640125
QwQ-32B,classification,3,accuracy,100,100,83.0
QwQ-32B,classification,3,macro_f1,100,100,83.02769813605727
QwQ-32B,reasoning,0,judgment_accuracy,100,100,99.0
QwQ-32B,reasoning,1,judgment_accuracy,100,100,98.0
QwQ-32B,reasoning,3,judgment_accuracy,100,100,99.0
QwQ-32B,structuring,0,cnhi_v2,100,100,79.97335913931795
QwQ-32B,structuring,1,cnhi_v2,100,100,81.8637920732743
QwQ-32B,structuring,3,cnhi_v2,100,100,81.66121870015145
QwQ-32B,relationship,0,micro_f1,50,50,94.4632768361582
QwQ-32B,relationship,1,micro_f1,50,50,99.4535519125683
QwQ-32B,relationship,3,micro_f1,50,50,99.01639344262296
QwQ-32B,qa_v4_5,0,recoverable_accuracy,100,50,100.0
QwQ-32B,qa_v4_5,1,recoverable_accuracy,100,50,98.0
QwQ-32B,qa_v4_5,3,recoverable_accuracy,100,50,100.0
Doubao,classification,0,accuracy,100,100,82.0
Doubao,classification,0,macro_f1,100,100,82.17653652286357
Doubao,classification,1,accuracy,100,100,86.0
Doubao,classification,1,macro_f1,100,100,86.01164229647202
Doubao,classification,3,accuracy,100,100,86.0
Doubao,classification,3,macro_f1,100,100,85.7417166297904
Doubao,reasoning,0,judgment_accuracy,100,100,98.0
Doubao,reasoning,1,judgment_accuracy,100,100,97.0
Doubao,reasoning,3,judgment_accuracy,100,100,98.0
Doubao,structuring,0,cnhi_v2,100,100,78.50659193978231
Doubao,structuring,1,cnhi_v2,100,100,79.21018173849642
Doubao,structuring,3,cnhi_v2,100,100,80.38386723102595
Doubao,relationship,0,micro_f1,50,50,92.42761692650335
Doubao,relationship,1,micro_f1,50,50,96.43652561247215
Doubao,relationship,3,micro_f1,50,50,97.88182831661094
Doubao,qa_v4_5,0,recoverable_accuracy,100,50,98.0
Doubao,qa_v4_5,1,recoverable_accuracy,100,50,100.0
Doubao,qa_v4_5,3,recoverable_accuracy,100,50,100.0
