model_id,task_id,contrast,status,n_items,n_clusters,mean_a_100,mean_b_100,difference_100,ci95_low_100,ci95_high_100,p_cluster_swap,resamples,p_holm,significant_holm_0_05,holm_family_size
chatglm3-6b,relationship,1-0,COMPUTED,50,50,43.73522458628842,3.5523978685612785,40.18282671772714,31.920302034295585,48.04234057015936,9.999000099990002e-05,10000,0.011998800119988003,True,120
chatglm3-6b,relationship,3-0,COMPUTED,50,50,37.641154328732746,3.5523978685612785,34.08875646017147,27.747633882110513,40.642142954958494,9.999000099990002e-05,10000,0.011998800119988003,True,120
chatglm3-6b,qa_v4_5,1-0,COMPUTED,100,50,26.0,32.0,-6.0,-10.999999999999998,-1.9999999999999991,0.0324967503249675,10000,1.0,False,120
chatglm3-6b,qa_v4_5,3-0,COMPUTED,100,50,27.0,32.0,-4.999999999999999,-10.0,0.0,0.11758824117588242,10000,1.0,False,120
Qwen2.5-7B-Instruct,classification,1-0,COMPUTED,100,100,64.0,54.0,9.999999999999998,1.0000000000000009,19.000000000000007,0.0598940105989401,10000,1.0,False,120
Qwen2.5-7B-Instruct,classification,3-0,COMPUTED,100,100,71.0,54.0,16.999999999999993,6.999999999999995,27.0,0.0027997200279972004,10000,0.23517648235176483,False,120
Qwen2.5-7B-Instruct,reasoning,1-0,COMPUTED,100,100,93.0,94.0,-0.9999999999999898,-6.000000000000005,4.0000000000000036,1.0,10000,1.0,False,120
Qwen2.5-7B-Instruct,reasoning,3-0,COMPUTED,100,100,95.0,94.0,1.0000000000000009,0.0,3.0000000000000027,1.0,10000,1.0,False,120
Qwen2.5-7B-Instruct,structuring,1-0,COMPUTED,100,100,80.02526878730869,55.12451168309413,24.900757104214566,17.927275588038015,32.21464831521872,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen2.5-7B-Instruct,structuring,3-0,COMPUTED,100,100,80.82981673354759,55.12451168309413,25.705305050453465,19.128288814620962,32.651955425198494,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen2.5-7B-Instruct,relationship,1-0,COMPUTED,50,50,57.354758961681085,20.584498094027953,36.77026086765313,27.420358061792978,45.67023929090043,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen2.5-7B-Instruct,relationship,3-0,COMPUTED,50,50,69.71569839307787,20.584498094027953,49.13120029904992,41.72324163931329,57.26585855712606,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen2.5-7B-Instruct,qa_v4_5,1-0,COMPUTED,100,50,77.0,75.0,2.0000000000000018,-2.0000000000000018,6.000000000000005,0.6284371562843716,10000,1.0,False,120
Qwen2.5-7B-Instruct,qa_v4_5,3-0,COMPUTED,100,50,78.0,75.0,3.0000000000000027,-1.0000000000000009,7.000000000000006,0.36936306369363064,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,classification,1-0,COMPUTED,100,100,47.0,40.0,6.999999999999995,0.0,14.999999999999996,0.11678832116788321,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,classification,3-0,COMPUTED,100,100,50.0,40.0,9.999999999999998,1.0000000000000009,19.999999999999996,0.0684931506849315,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,reasoning,1-0,COMPUTED,100,100,93.0,97.0,-3.9999999999999925,-8.999999999999996,0.0,0.21977802219778023,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,reasoning,3-0,COMPUTED,100,100,97.0,97.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,structuring,1-0,COMPUTED,100,100,77.43178057104932,54.73039679186563,22.701383779183683,16.21225492955339,29.55120401721712,9.999000099990002e-05,10000,0.011998800119988003,True,120
Mistral-7B-Instruct-v0.3,structuring,3-0,COMPUTED,100,100,77.60864713154949,54.73039679186563,22.87825033968386,16.159802871653074,30.108389277961084,9.999000099990002e-05,10000,0.011998800119988003,True,120
Mistral-7B-Instruct-v0.3,relationship,1-0,COMPUTED,50,50,66.05876393110435,22.967741935483872,43.09102199562049,33.48340738779324,52.93636013408594,9.999000099990002e-05,10000,0.011998800119988003,True,120
Mistral-7B-Instruct-v0.3,relationship,3-0,COMPUTED,50,50,62.04620462046204,22.967741935483872,39.07846268497817,30.057062597708345,47.69121624405253,9.999000099990002e-05,10000,0.011998800119988003,True,120
Mistral-7B-Instruct-v0.3,qa_v4_5,1-0,COMPUTED,100,50,47.0,46.0,0.9999999999999953,-8.999999999999996,10.999999999999998,1.0,10000,1.0,False,120
Mistral-7B-Instruct-v0.3,qa_v4_5,3-0,COMPUTED,100,50,36.0,46.0,-10.000000000000004,-20.0,0.0,0.08739126087391261,10000,1.0,False,120
Qwen3-8B-NonThinking,classification,1-0,COMPUTED,100,100,59.0,56.99999999999999,2.0000000000000018,-4.999999999999993,8.999999999999996,0.774022597740226,10000,1.0,False,120
Qwen3-8B-NonThinking,classification,3-0,COMPUTED,100,100,63.0,56.99999999999999,6.000000000000005,-2.0000000000000018,13.999999999999996,0.21107889211078892,10000,1.0,False,120
Qwen3-8B-NonThinking,reasoning,1-0,COMPUTED,100,100,98.0,95.0,3.0000000000000027,0.0,6.999999999999995,0.2521747825217478,10000,1.0,False,120
Qwen3-8B-NonThinking,reasoning,3-0,COMPUTED,100,100,97.0,95.0,2.0000000000000018,0.0,4.999999999999993,0.49635036496350365,10000,1.0,False,120
Qwen3-8B-NonThinking,structuring,1-0,COMPUTED,100,100,80.90144143339218,80.18841690073693,0.7130245326552487,-0.5047693745312584,2.5967230396143695,0.585041495850415,10000,1.0,False,120
Qwen3-8B-NonThinking,structuring,3-0,COMPUTED,100,100,81.03700810008586,80.18841690073693,0.8485911993489359,-0.34993500612952283,2.8016821594216585,0.41585841415858416,10000,1.0,False,120
Qwen3-8B-NonThinking,relationship,1-0,COMPUTED,50,50,82.13851761846902,43.669250645994836,38.46926697247419,27.77529625411464,49.02558086842857,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen3-8B-NonThinking,relationship,3-0,COMPUTED,50,50,80.34398034398035,43.669250645994836,36.67472969798551,27.835520419954936,45.192681203151416,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen3-8B-NonThinking,qa_v4_5,1-0,COMPUTED,100,50,85.0,86.0,-1.0000000000000009,-5.000000000000004,3.0000000000000027,1.0,10000,1.0,False,120
Qwen3-8B-NonThinking,qa_v4_5,3-0,COMPUTED,100,50,88.0,86.0,2.0000000000000018,-2.0000000000000018,6.000000000000005,0.6254374562543745,10000,1.0,False,120
Qwen3-8B-Thinking,classification,1-0,COMPUTED,100,100,77.0,71.0,6.000000000000005,-2.0000000000000018,14.000000000000002,0.23607639236076391,10000,1.0,False,120
Qwen3-8B-Thinking,classification,3-0,COMPUTED,100,100,76.0,71.0,5.000000000000004,-3.0000000000000027,14.000000000000002,0.35336466353364665,10000,1.0,False,120
Qwen3-8B-Thinking,reasoning,1-0,COMPUTED,100,100,100.0,99.0,1.0000000000000009,0.0,3.0000000000000027,1.0,10000,1.0,False,120
Qwen3-8B-Thinking,reasoning,3-0,COMPUTED,100,100,98.0,99.0,-1.0000000000000009,-3.0000000000000027,0.0,1.0,10000,1.0,False,120
Qwen3-8B-Thinking,structuring,1-0,COMPUTED,100,100,81.50212047909987,78.26953504019455,3.232585438905311,0.7696815279050399,6.353760562575461,0.0020997900209979003,10000,0.18058194180581943,False,120
Qwen3-8B-Thinking,structuring,3-0,COMPUTED,100,100,81.59527512713838,78.26953504019455,3.325740086943818,0.8919023600144029,6.444805698281149,0.00039996000399960006,10000,0.03599640035996401,True,120
Qwen3-8B-Thinking,relationship,1-0,COMPUTED,50,50,95.06726457399103,75.65543071161048,19.411833862380547,11.410733058000904,28.01838621207645,9.999000099990002e-05,10000,0.011998800119988003,True,120
Qwen3-8B-Thinking,relationship,3-0,COMPUTED,50,50,94.7603121516165,75.65543071161048,19.104881440006018,9.405977556535259,28.722320606026436,0.00039996000399960006,10000,0.03599640035996401,True,120
Qwen3-8B-Thinking,qa_v4_5,1-0,COMPUTED,100,50,91.0,92.0,-1.0000000000000009,-5.000000000000004,3.0000000000000027,1.0,10000,1.0,False,120
Qwen3-8B-Thinking,qa_v4_5,3-0,COMPUTED,100,50,89.0,92.0,-3.0000000000000027,-6.999999999999995,0.0,0.25537446255374463,10000,1.0,False,120
QwQ-32B,classification,1-0,COMPUTED,100,100,76.0,77.0,-1.0000000000000009,-8.000000000000007,5.999999999999995,1.0,10000,1.0,False,120
QwQ-32B,classification,3-0,COMPUTED,100,100,83.0,77.0,5.999999999999995,-1.0000000000000009,13.0,0.1810818918108189,10000,1.0,False,120
QwQ-32B,reasoning,1-0,COMPUTED,100,100,98.0,99.0,-1.0000000000000009,-5.000000000000004,2.0000000000000018,1.0,10000,1.0,False,120
QwQ-32B,reasoning,3-0,COMPUTED,100,100,99.0,99.0,0.0,-3.0000000000000027,3.0000000000000027,1.0,10000,1.0,False,120
QwQ-32B,structuring,1-0,COMPUTED,100,100,81.8637920732743,79.97335913931792,1.8904329339563763,-0.0017355593811343977,4.5269629906473545,0.103989601039896,10000,1.0,False,120
QwQ-32B,structuring,3-0,COMPUTED,100,100,81.66121870015145,79.97335913931792,1.6878595608335267,-1.0796329965003455,4.706869419509743,0.24757524247575244,10000,1.0,False,120
QwQ-32B,relationship,1-0,COMPUTED,50,50,99.4535519125683,94.4632768361582,4.990275076410111,1.3471893517714135,10.1175903177369,0.0034996500349965005,10000,0.29047095290470953,False,120
QwQ-32B,relationship,3-0,COMPUTED,50,50,99.01639344262296,94.4632768361582,4.553116606464758,0.71394271772587,9.445284874237982,0.029897010298970104,10000,1.0,False,120
QwQ-32B,qa_v4_5,1-0,COMPUTED,100,50,98.0,100.0,-2.0000000000000018,-5.000000000000004,0.0,0.49775022497750226,10000,1.0,False,120
QwQ-32B,qa_v4_5,3-0,COMPUTED,100,50,100.0,100.0,0.0,0.0,0.0,1.0,10000,1.0,False,120
